code,is_vulnerable,cwe_id
def login(user): query = 'SELECT * FROM users WHERE name = ' + user,1,CWE-89
Runtime.getRuntime().exec(cmd);,1,CWE-78
"memcpy(dest, src, len);",1,CWE-120
Runtime.getRuntime().exec(cmd);,1,CWE-78
int *p = NULL; *p = 1;,1,CWE-476
def load_yaml(data): yaml.load(data),1,CWE-502
int a = 5; int b = 6; int c = a + b;,0,None
def exec_cmd(cmd): os.system(cmd),1,CWE-78
def load_yaml(data): yaml.load(data),1,CWE-502
printf(user_input);,1,CWE-134
int *p = NULL; *p = 1;,1,CWE-476
eval(user_input),1,CWE-94
"fgets(buffer, sizeof(buffer), stdin);",0,None
"PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");",0,None
system(cmd);,1,CWE-78
int *p = NULL; *p = 1;,1,CWE-476
def exec_cmd(cmd): os.system(cmd),1,CWE-78
int *p = NULL; *p = 1;,1,CWE-476
"def exec_cmd(cmd): subprocess.run(cmd, shell=False)",0,None
input(prompt),1,CWE-20
"strcpy(dest, src);",1,CWE-120
"snprintf(buf, sizeof(buf), ""Safe string"");",0,None
"printf(""Hello World"");",0,None
def login(user): query = 'SELECT * FROM users WHERE name = ' + user,1,CWE-89
"memcpy(dest, src, len);",1,CWE-120
char *p = malloc(10); free(p); free(p);,1,CWE-415
"def exec_cmd(cmd): subprocess.run(cmd, shell=False)",0,None
Runtime.getRuntime().exec(cmd);,1,CWE-78
"sprintf(query, ""SELECT * FROM users WHERE id = '%s'"", user_id);",1,CWE-89
def login(user): query = 'SELECT * FROM users WHERE name = ' + user,1,CWE-89
def load_yaml(data): yaml.safe_load(data),0,None
eval(user_input),1,CWE-94
"cout << ""Hello"" << endl;",0,None
input(prompt),1,CWE-20
"PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");",0,None
"def exec_cmd(cmd): subprocess.run(cmd, shell=False)",0,None
"printf(""Hello World"");",0,None
"cout << ""Hello"" << endl;",0,None
"String query = ""SELECT * FROM users WHERE name = "" + user;",1,CWE-89
def load_yaml(data): yaml.load(data),1,CWE-502
system(cmd);,1,CWE-78
"std::string s = ""safe"";",0,None
int *p = NULL; *p = 1;,1,CWE-476
"std::string s = ""safe"";",0,None
for (int i=0; i<10; i++) { sum += i; },0,None
"strcpy(dest, src);",1,CWE-120
def load_yaml(data): yaml.load(data),1,CWE-502
for (int i=0; i<10; i++) { sum += i; },0,None
char *p = malloc(10); free(p); free(p);,1,CWE-415
def load_yaml(data): yaml.safe_load(data),0,None
"PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");",0,None
for (int i=0; i<10; i++) { sum += i; },0,None
"fgets(buffer, sizeof(buffer), stdin);",0,None
"printf(""Hello World"");",0,None
def login(user): query = 'SELECT * FROM users WHERE name = ' + user,1,CWE-89
"fgets(buffer, sizeof(buffer), stdin);",0,None
def exec_cmd(cmd): os.system(cmd),1,CWE-78
int a = 5; int b = 6; int c = a + b;,0,None
"strcpy(dest, src);",1,CWE-120
int *p = NULL; *p = 1;,1,CWE-476
"strcat(dest, src);",1,CWE-120
if (x > 0) { y = x; },0,None
gets(buffer);,1,CWE-120
int a = 5; int b = 6; int c = a + b;,0,None
int a = 5; int b = 6; int c = a + b;,0,None
if (x > 0) { y = x; },0,None
"cout << ""Hello"" << endl;",0,None
system(cmd);,1,CWE-78
"subprocess.call(cmd, shell=True)",1,CWE-78
"printf(""Hello World"");",0,None
"std::string s = ""safe"";",0,None
"fgets(buffer, sizeof(buffer), stdin);",0,None
"snprintf(buf, sizeof(buf), ""Safe string"");",0,None
"fgets(buffer, sizeof(buffer), stdin);",0,None
"PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");",0,None
"printf(""Hello World"");",0,None
int *p = NULL; *p = 1;,1,CWE-476
def load_yaml(data): yaml.safe_load(data),0,None
eval(user_input),1,CWE-94
"def login(user): query = 'SELECT * FROM users WHERE name = ?', (user,)",0,None
def load_yaml(data): yaml.load(data),1,CWE-502
eval(user_input),1,CWE-94
def load_yaml(data): yaml.safe_load(data),0,None
"def login(user): query = 'SELECT * FROM users WHERE name = ?', (user,)",0,None
int *p = NULL; *p = 1;,1,CWE-476
int *p = NULL; *p = 1;,1,CWE-476
"def exec_cmd(cmd): subprocess.run(cmd, shell=False)",0,None
"strcat(dest, src);",1,CWE-120
def login(user): query = 'SELECT * FROM users WHERE name = ' + user,1,CWE-89
"snprintf(buf, sizeof(buf), ""Safe string"");",0,None
"fgets(buffer, sizeof(buffer), stdin);",0,None
printf(user_input);,1,CWE-134
def load_yaml(data): yaml.safe_load(data),0,None
"cout << ""Hello"" << endl;",0,None
"snprintf(buf, sizeof(buf), ""Safe string"");",0,None
"snprintf(buf, sizeof(buf), ""Safe string"");",0,None
"PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");",0,None
ObjectInputStream ois = new ObjectInputStream(is); ois.readObject();,1,CWE-502
"def login(user): query = 'SELECT * FROM users WHERE name = ?', (user,)",0,None
"cout << ""Hello"" << endl;",0,None
